2026-06-10T11:01:21.886366 | ID:82 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:02:00.988936 | ID:83 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:02:40.069222 | ID:84 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:03:21.271560 | ID:85 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:03:57.327039 | ID:86 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:04:38.467803 | ID:87 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:05:17.625053 | ID:88 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:05:55.672715 | ID:89 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:06:36.816386 | ID:90 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:07:13.860580 | ID:91 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:07:54.996245 | ID:92 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:08:34.131518 | ID:93 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:09:12.194753 | ID:94 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:09:53.325088 | ID:95 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:10:30.403308 | ID:96 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:11:11.531821 | ID:97 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:11:53.681774 | ID:98 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:12:31.737815 | ID:99 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:13:12.899015 | ID:100 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:13:49.959551 | ID:101 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:14:31.077479 | ID:102 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:15:10.232986 | ID:103 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:15:48.297764 | ID:104 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:16:29.447814 | ID:105 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:17:06.507399 | ID:106 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:17:47.623615 | ID:107 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:18:26.738539 | ID:108 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:19:05.791902 | ID:109 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:19:46.937489 | ID:110 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:20:22.978144 | ID:111 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:21:04.174077 | ID:112 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:21:43.259461 | ID:113 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:22:22.326007 | ID:114 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:23:03.453391 | ID:115 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:23:40.544958 | ID:116 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:24:20.697281 | ID:117 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:24:59.895180 | ID:118 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:25:38.950466 | ID:119 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:26:20.061946 | ID:120 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:26:56.122241 | ID:121 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:27:37.287933 | ID:122 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:28:16.431531 | ID:123 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:28:54.504417 | ID:124 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:29:35.676486 | ID:125 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:30:12.728791 | ID:126 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:30:53.897688 | ID:127 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:31:33.038877 | ID:128 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:32:11.093004 | ID:129 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:32:52.275543 | ID:130 | fall | 检测到人员摔倒 (分数: 0.70)
2026-06-10T11:33:29.331494 | ID:131 | fall | 检测到人员摔倒 (分数: 0.70)
